names	scores	logfoldchanges	pvals	pvals_adj
GNG11	36.10175	5.8180842	2.1292173523493285e-285	5.01004843007797e-281
HLA-C	35.930683	4.0659122	1.0138882236930659e-282	1.192839495174892e-278
B2M	35.53047	3.406171	1.6640687617836735e-276	1.3051845988256612e-272
HLA-E	35.50727	4.4557943	3.796228379355325e-276	2.23313134415577e-272
HLA-B	35.371147	4.077107	4.743782452820345e-274	2.2324240222972544e-270
SPARCL1	34.687817	4.0975676	1.2026123517505916e-263	4.716244772781904e-260
IFI27	34.578777	4.678139	5.267314027429274e-262	1.770569986648726e-258
BCAM	34.39576	5.264055	2.917843036361796e-259	8.582105830699132e-256
RBP7	34.15043	8.535209	1.3176628336738878e-255	3.44495627514962e-252
HLA-A	33.828857	2.6360173	7.42708157807364e-251	1.7475922953207274e-247
TXNIP	33.66935	3.10312	1.6247322699180706e-248	3.475450028288382e-245
A2M	33.44593	5.676077	2.9492622991451133e-245	5.783011824907043e-242
VWF	33.27955	7.650223	7.632058312885665e-243	1.3814025546323051e-239
CAV1	32.94985	3.2864902	4.2516168772568e-238	7.145753222989464e-235
PTMA	32.386898	1.9843439	4.197280710699442e-230	6.584134341517191e-227
CD74	32.364426	5.3757668	8.695456534535341e-230	1.2787755766101036e-226
ID1	32.321686	4.9341083	3.468878803298425e-229	4.8013363671536425e-226
MGP	32.172462	3.6585577	4.285608571702132e-227	5.602242760675065e-224
KLF2	32.151672	3.417847	8.368869991393825e-227	1.0364184784078774e-223
TMSB4X	32.098053	2.7907329	4.693716792896848e-226	5.522157806843142e-223
RAMP2	31.79714	4.2601185	7.090033320695887e-222	7.944213525522582e-219
CLEC14A	31.42363	8.6644945	9.62466427986108e-217	1.0294015932051419e-213
TM4SF1	31.4048	3.5538208	1.7399580007903387e-216	1.7800526851563768e-213
GIMAP7	31.114592	7.024864	1.5290210356567956e-212	1.49907770704185e-209
GSN	30.794832	2.8569973	3.0730138373991022e-208	2.892320623760035e-205
S100A10	30.626598	3.0843818	5.416891115408889e-206	4.902286459445044e-203
CD34	30.608078	4.3403006	9.556272170100204e-206	8.328114228239178e-203
TAGLN2	30.506128	3.529139	2.1610868780928906e-204	1.816084794340204e-201
SOX18	30.274477	6.961917	2.4854027802574073e-201	2.0166043937743724e-198
HLA-DRB1	30.134743	4.7862644	1.6998148064683215e-199	1.3332214132066534e-196
TMSB10	29.889994	2.2761488	2.654895965457238e-196	2.0151516795873807e-193
SLC9A3R2	29.82271	3.4655325	1.983529273627287e-195	1.4585138690140646e-192
ITM2A	29.772516	3.31715	8.866038590867488e-195	6.321754183124606e-192
PRSS23	29.568855	5.9749875	3.758782979057525e-192	2.6012989263889284e-189
GADD45A	29.511387	3.5564291	2.0566509812683336e-191	1.3826570739783969e-188
EHD4	29.437319	5.7773414	1.8295612786040385e-190	1.1958215801542506e-187
NOSTRIN	29.231808	6.657746	7.648369656081021e-188	4.8639496758807145e-185
HLA-DRA	29.120173	4.6341863	1.9941490852617233e-186	1.2347981046370617e-183
RAMP3	29.078176	7.459331	6.7779363189802745e-186	4.089354912451432e-183
ID3	28.782944	4.5599337	3.507107031399655e-182	2.063055711220847e-179
IER2	28.406767	3.2243013	1.6680995672810326e-177	9.573264101981146e-175
ESAM	28.266796	7.0374475	8.849381513206142e-176	4.957760642993822e-173
IGFBP4	27.971165	2.706375	3.6451191355876933e-172	1.994643099078568e-169
TM4SF18	27.830938	7.50089	1.8324401984983584e-170	9.799390425151448e-168
LMO2	27.778025	4.5816174	7.995108555614006e-170	4.180553429191057e-167
IFITM2	27.395462	2.5395505	3.1060634487570323e-165	1.5888189771576733e-162
TNFSF10	27.367544	5.072364	6.677934437608622e-165	3.3432297301474653e-162
EPAS1	27.002687	5.4921765	1.3742807641461918e-160	6.736838829241644e-158
CLDN5	26.820143	8.65227	1.881554542610227e-158	9.035301711758907e-156
ZFP36	26.714457	2.4857886	3.19749197912236e-157	1.5047397253749827e-154
ECSCR	26.614014	8.395784	4.672868671488778e-156	2.155933330198646e-153
TSPAN7	26.409971	6.2047915	1.0525986556363219e-153	4.763008916754356e-151
CRIP2	26.349092	3.600855	5.256791391498789e-153	2.3338170083389907e-150
MGST2	26.16564	3.413333	6.542454128930542e-151	2.850813808402512e-148
DUSP1	26.05317	2.6330245	1.238575814247425e-149	5.298852528953074e-147
PSMB8	26.052135	3.555503	1.2724448871428466e-149	5.346540749012711e-147
RNASE1	25.899738	3.7605674	6.705016088714039e-148	2.7678776941656373e-145
S100A16	25.87378	3.4699996	1.3142418086407956e-147	5.331743061606538e-145
SRGN	25.688803	4.0374427	1.5592206010830498e-145	6.218383176861722e-143
RPS6	25.674217	1.03571	2.2689394072993427e-145	8.898024042292256e-143
FXYD5	25.53871	4.1454277	7.329370859401719e-144	2.781614456801975e-141
RPS28	25.464607	1.157811	4.864464344724336e-143	1.8168388258946606e-140
NUAK1	25.253199	6.3979254	1.0445334492956853e-140	3.781211086450381e-138
AP1S2	25.153156	4.1041164	1.305212851692612e-139	4.653281575807146e-137
TSC22D1	25.002264	2.615572	5.776425614597988e-138	2.028646189723741e-135
IFITM3	24.974419	1.9880413	1.159653297310548e-137	4.0127414831937044e-135
CD59	24.747192	2.101432	3.3236895496607004e-135	1.117234501478804e-132
GIMAP4	24.657707	5.6705313	3.0423492194454676e-134	9.942566268548869e-132
EGFL7	24.62959	2.948646	6.090225125772239e-134	1.9630547562934354e-131
ELTD1	24.471424	7.1520867	2.977186976122418e-132	9.340427939754732e-130
NFKBIA	24.410872	2.4419746	1.311056397084747e-131	4.0590996083426444e-129
RHOB	24.30582	2.4100704	1.701322160580422e-130	5.198975381617835e-128
ANXA1	24.25637	2.9280145	5.664101618497548e-130	1.708670654913427e-127
EMCN	24.19883	7.707099	2.2887667188174043e-129	6.8170482144017114e-127
SOCS3	24.158485	3.00436	6.080833224662978e-129	1.7885250722039984e-126
PTRF	23.771534	2.1960738	6.580974347397121e-125	1.8656665830633043e-122
MYL12A	23.688524	1.514419	4.734689262859244e-124	1.326276647084262e-121
DDIT4	23.642702	2.63649	1.403089986432379e-123	3.884083221265162e-121
HLA-DPA1	23.445444	3.0075188	1.4712449106141317e-121	4.0253945054361067e-119
EFNA1	23.313854	6.0014176	3.2080319545030386e-120	8.676435849362815e-118
SAT1	23.294825	2.5785675	5.00248176730581e-120	1.3375954089171104e-117
